"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [kg*km2/km2]",2422863321.79076,219450420.752443,0.0905748247450647
"1","1983","Stratum_1"," [kg*km2/km2]",5764063103.8417,494907268.812594,0.0858608346051492
"1","1984","Stratum_1"," [kg*km2/km2]",4252525888.57071,401400798.563501,0.0943911475394721
"1","1985","Stratum_1"," [kg*km2/km2]",4939026455.44665,565670458.688816,0.11453076102984
"1","1986","Stratum_1"," [kg*km2/km2]",4500205437.82643,418655616.669136,0.0930303343820996
"1","1987","Stratum_1"," [kg*km2/km2]",4570045865.13908,414339830.487335,0.0906642608661711
"1","1988","Stratum_1"," [kg*km2/km2]",6611503393.92335,673610414.583524,0.101884605429174
"1","1989","Stratum_1"," [kg*km2/km2]",5835181776.08925,496137653.281944,0.0850252266887314
"1","1990","Stratum_1"," [kg*km2/km2]",6371886848.29764,691990752.108558,0.108600602707412
"1","1991","Stratum_1"," [kg*km2/km2]",4525254049.56521,403493264.046346,0.0891647760825967
"1","1992","Stratum_1"," [kg*km2/km2]",4421265669.67509,414506233.613908,0.0937528446790597
"1","1993","Stratum_1"," [kg*km2/km2]",5185480650.52542,439408527.265346,0.0847382445098551
"1","1994","Stratum_1"," [kg*km2/km2]",4601605722.04093,405384353.90888,0.0880962816886191
"1","1995","Stratum_1"," [kg*km2/km2]",4335519182.92285,442985442.309882,0.102175869514026
"1","1996","Stratum_1"," [kg*km2/km2]",2779130179.77627,225423716.265138,0.0811130467746876
"1","1997","Stratum_1"," [kg*km2/km2]",2982004647.56461,240898733.155419,0.0807841575136913
"1","1998","Stratum_1"," [kg*km2/km2]",2324047428.52079,195122577.991261,0.0839580877725258
"1","1999","Stratum_1"," [kg*km2/km2]",3336079991.38702,319330589.234177,0.0957203034875105
"1","2000","Stratum_1"," [kg*km2/km2]",4730865629.52652,417593574.904844,0.0882700139058139
"1","2001","Stratum_1"," [kg*km2/km2]",3963987923.01449,340617616.559315,0.0859280157191513
"1","2002","Stratum_1"," [kg*km2/km2]",4300225771.17323,328223224.041958,0.0763269747933278
"1","2003","Stratum_1"," [kg*km2/km2]",6582728520.33161,572279891.601356,0.0869365780213776
"1","2004","Stratum_1"," [kg*km2/km2]",3585741786.69811,294937488.241691,0.082252851930334
"1","2005","Stratum_1"," [kg*km2/km2]",4559790293.38355,419521490.691637,0.0920045580386407
"1","2006","Stratum_1"," [kg*km2/km2]",2703458646.89003,235000124.214862,0.0869257328885716
"1","2007","Stratum_1"," [kg*km2/km2]",3948075518.16751,418256767.638428,0.105939404075168
"1","2008","Stratum_1"," [kg*km2/km2]",2716103195.40923,284507015.058561,0.104748234728134
"1","2009","Stratum_1"," [kg*km2/km2]",2082279158.36523,250671068.604982,0.120383027221855
"1","2010","Stratum_1"," [kg*km2/km2]",3251338532.98149,336211512.192939,0.103407107190598
"1","2011","Stratum_1"," [kg*km2/km2]",2865310196.36651,251646274.318525,0.0878251418075562
"1","2012","Stratum_1"," [kg*km2/km2]",3269939329.37566,272484618.436546,0.0833301755750226
"1","2013","Stratum_1"," [kg*km2/km2]",4259292352.14321,390012595.31162,0.0915674631057838
"1","2014","Stratum_1"," [kg*km2/km2]",7126665503.64294,549460318.340024,0.0770992153425968
