"Time","Trump"," Kamala Harris"," Election"," Talarico"
"2026-09-07T20:00:00Z",86,1,17,1
"2026-09-08T00:00:00Z",62,0,13,1
"2026-09-08T04:00:00Z",53,0,17,0
"2026-09-08T08:00:00Z",57,0,24,0
"2026-09-08T12:00:00Z",62,0,16,2
"2026-09-08T16:00:00Z",68,1,14,2
"2026-09-08T20:00:00Z",67,0,15,1
"2026-09-09T00:00:00Z",55,0,12,2
"2026-09-09T04:00:00Z",67,0,11,0
"2026-09-09T08:00:00Z",53,0,13,0
"2026-09-09T12:00:00Z",58,0,10,2
"2026-09-09T16:00:00Z",50,0,11,2
"2026-09-09T20:00:00Z",65,0,10,3
"2026-09-10T00:00:00Z",72,0,14,4
"2026-09-10T04:00:00Z",70,0,11,4
"2026-09-10T08:00:00Z",79,0,15,5
"2026-09-10T12:00:00Z",69,0,12,4
"2026-09-10T16:00:00Z",69,0,10,4
"2026-09-10T20:00:00Z",67,0,11,7
"2026-09-11T00:00:00Z",72,0,13,6
"2026-09-11T04:00:00Z",63,0,9,5
"2026-09-11T08:00:00Z",67,0,13,3
"2026-09-11T12:00:00Z",74,0,10,6
"2026-09-11T16:00:00Z",68,0,9,5
"2026-09-11T20:00:00Z",60,0,10,4
"2026-09-12T00:00:00Z",75,0,19,5
"2026-09-12T04:00:00Z",88,0,26,4
"2026-09-12T08:00:00Z",91,0,28,3
"2026-09-12T12:00:00Z",100,0,31,6
"2026-09-12T16:00:00Z",80,0,25,6
"2026-09-12T20:00:00Z",44,0,8,4
"2026-09-13T00:00:00Z",48,0,7,3
"2026-09-13T04:00:00Z",47,0,8,4
"2026-09-13T08:00:00Z",55,0,11,0
"2026-09-13T12:00:00Z",55,0,9,4
"2026-09-13T16:00:00Z",45,0,12,3
"2026-09-13T20:00:00Z",49,0,11,3
"2026-09-14T00:00:00Z",51,0,9,0
"2026-09-14T04:00:00Z",50,0,19,0
"2026-09-14T08:00:00Z",34,0,12,0
"2026-09-14T12:00:00Z",68,0,19,4
"2026-09-14T16:00:00Z",59,0,15,4
"2026-09-14T20:00:00Z",61,0,12,0
