"Time","Flock","Flock Camera","automatic license plate reader"
"2026-08-16",86,37,0
"2026-08-17",100,38,0
"2026-08-18",86,27,0
"2026-08-19",84,26,0
"2026-08-20",82,28,0
"2026-08-21",85,26,0
"2026-08-22",74,24,0
"2026-08-23",63,24,0
"2026-08-24",60,23,0
"2026-08-25",58,27,0
"2026-08-26",60,25,0
"2026-08-27",65,27,0
"2026-08-28",64,27,0
"2026-08-29",61,25,0
"2026-08-30",57,23,0
"2026-08-31",67,25,0
"2026-09-01",79,27,0
"2026-09-02",68,25,0
"2026-09-03",61,21,0
"2026-09-04",57,18,0
"2026-09-05",53,23,0
"2026-09-06",47,20,0
"2026-09-07",37,14,0
"2026-09-08",35,12,0
"2026-09-09",43,14,0
"2026-09-10",39,13,0
"2026-09-11",33,12,0
"2026-09-12",30,11,0
"2026-09-13",30,10,0
"2026-09-14",33,10,0
